"","activityName","subject","signal","measure","axis","value"
"1","LAYING",1,"tBodyAcc","mean","X",0.22159824394
"2","LAYING",2,"tBodyAcc","mean","X",0.281373403958333
"3","LAYING",3,"tBodyAcc","mean","X",0.275516852741935
"4","LAYING",4,"tBodyAcc","mean","X",0.263559214981481
"5","LAYING",5,"tBodyAcc","mean","X",0.278334325576923
"6","LAYING",6,"tBodyAcc","mean","X",0.248656520140351
"7","LAYING",7,"tBodyAcc","mean","X",0.250176694038462
"8","LAYING",8,"tBodyAcc","mean","X",0.261254282907407
"9","LAYING",9,"tBodyAcc","mean","X",0.2591955368
"10","LAYING",10,"tBodyAcc","mean","X",0.280230574137931
"11","LAYING",11,"tBodyAcc","mean","X",0.280592970877193
"12","LAYING",12,"tBodyAcc","mean","X",0.260113433
"13","LAYING",13,"tBodyAcc","mean","X",0.276716360483871
"14","LAYING",14,"tBodyAcc","mean","X",0.233275439803922
"15","LAYING",15,"tBodyAcc","mean","X",0.2894756525
"16","LAYING",16,"tBodyAcc","mean","X",0.274227162571429
"17","LAYING",17,"tBodyAcc","mean","X",0.269780085577465
"18","LAYING",18,"tBodyAcc","mean","X",0.274691576923077
"19","LAYING",19,"tBodyAcc","mean","X",0.272653733493976
"20","LAYING",20,"tBodyAcc","mean","X",0.239507882205882
"21","LAYING",21,"tBodyAcc","mean","X",0.271325472455556
"22","LAYING",22,"tBodyAcc","mean","X",0.279959721194444
"23","LAYING",23,"tBodyAcc","mean","X",0.274038007986111
"24","LAYING",24,"tBodyAcc","mean","X",0.272850494930556
"25","LAYING",25,"tBodyAcc","mean","X",0.250791828613699
"26","LAYING",26,"tBodyAcc","mean","X",0.271645864540789
"27","LAYING",27,"tBodyAcc","mean","X",0.274102492432432
"28","LAYING",28,"tBodyAcc","mean","X",0.2759134825
"29","LAYING",29,"tBodyAcc","mean","X",0.287295196811594
"30","LAYING",30,"tBodyAcc","mean","X",0.281033900571429
"31","SITTING",1,"tBodyAcc","mean","X",0.261237565425532
"32","SITTING",2,"tBodyAcc","mean","X",0.27708735173913
"33","SITTING",3,"tBodyAcc","mean","X",0.257197599134615
"34","SITTING",4,"tBodyAcc","mean","X",0.27153827992
"35","SITTING",5,"tBodyAcc","mean","X",0.273694139545455
"36","SITTING",6,"tBodyAcc","mean","X",0.276778487454545
"37","SITTING",7,"tBodyAcc","mean","X",0.284674637291667
"38","SITTING",8,"tBodyAcc","mean","X",0.267491472934783
"39","SITTING",9,"tBodyAcc","mean","X",0.24832674354
"40","SITTING",10,"tBodyAcc","mean","X",0.270612056481481
"41","SITTING",11,"tBodyAcc","mean","X",0.276590197358491
"42","SITTING",12,"tBodyAcc","mean","X",0.275007224901961
"43","SITTING",13,"tBodyAcc","mean","X",0.274328499591837
"44","SITTING",14,"tBodyAcc","mean","X",0.279990577037037
"45","SITTING",15,"tBodyAcc","mean","X",0.27290337979661
"46","SITTING",16,"tBodyAcc","mean","X",0.280768574492754
"47","SITTING",17,"tBodyAcc","mean","X",0.2773570196875
"48","SITTING",18,"tBodyAcc","mean","X",0.27727001877193
"49","SITTING",19,"tBodyAcc","mean","X",0.273830316164384
"50","SITTING",20,"tBodyAcc","mean","X",0.278045439090909
"51","SITTING",21,"tBodyAcc","mean","X",0.277539616823529
"52","SITTING",22,"tBodyAcc","mean","X",0.273583822709677
"53","SITTING",23,"tBodyAcc","mean","X",0.273351251617647
"54","SITTING",24,"tBodyAcc","mean","X",0.273475690147059
"55","SITTING",25,"tBodyAcc","mean","X",0.278541482461538
